Date,Year,Month,Day,Temperature,PO4,NO3,Secchi
25/03/2000,2000,3,25,NA,NA,NA,NA
26/03/2000,2000,3,26,NA,NA,NA,NA
27/03/2000,2000,3,27,6.10,1.38,98.40,1.60
28/03/2000,2000,3,28,5.90,1.52,86.96,1.10
29/03/2000,2000,3,29,5.80,1.38,90.64,1.00
30/03/2000,2000,3,30,6.00,1.47,90.41,0.90
31/03/2000,2000,3,31,6.00,1.08,86.93,1.20
01/04/2000,2000,4,1,NA,NA,NA,NA
02/04/2000,2000,4,2,NA,NA,NA,NA
03/04/2000,2000,4,3,6.60,1.38,54.06,2.10
04/04/2000,2000,4,4,6.80,1.42,49.25,2.20
05/04/2000,2000,4,5,NA,NA,NA,NA
06/04/2000,2000,4,6,6.30,0.71,50.08,1.80
07/04/2000,2000,4,7,NA,NA,NA,NA
08/04/2000,2000,4,8,NA,NA,NA,NA
09/04/2000,2000,4,9,NA,NA,NA,NA
10/04/2000,2000,4,10,6.50,0.95,57.94,2.70
11/04/2000,2000,4,11,7.00,0.94,58.42,2.00
12/04/2000,2000,4,12,6.80,1.02,55.93,3.20
13/04/2000,2000,4,13,6.40,0.83,55.76,2.50
14/04/2000,2000,4,14,6.60,0.79,51.17,2.00
15/04/2000,2000,4,15,NA,NA,NA,NA
16/04/2000,2000,4,16,NA,NA,NA,NA
17/04/2000,2000,4,17,6.70,0.93,38.07,3.00
18/04/2000,2000,4,18,6.80,1.07,39.42,3.00
19/04/2000,2000,4,19,6.80,0.81,27.35,3.50
20/04/2000,2000,4,20,6.80,0.74,25.51,3.60
21/04/2000,2000,4,21,NA,NA,NA,NA
22/04/2000,2000,4,22,NA,NA,NA,NA
23/04/2000,2000,4,23,NA,NA,NA,NA
24/04/2000,2000,4,24,NA,NA,NA,NA
25/04/2000,2000,4,25,7.20,0.77,25.87,4.10
26/04/2000,2000,4,26,7.60,0.18,16.10,4.00
27/04/2000,2000,4,27,7.50,0.74,25.51,3.80
28/04/2000,2000,4,28,8.20,0.20,8.49,3.90
29/04/2000,2000,4,29,NA,NA,NA,NA
30/04/2000,2000,4,30,NA,NA,NA,NA
01/05/2000,2000,5,1,NA,NA,NA,NA
02/05/2000,2000,5,2,9.10,0.15,24.55,4.10
03/05/2000,2000,5,3,9.50,0.25,22.49,2.40
04/05/2000,2000,5,4,8.80,0.18,21.09,3.20
05/05/2000,2000,5,5,8.60,0.72,24.31,3.90
06/05/2000,2000,5,6,NA,NA,NA,NA
07/05/2000,2000,5,7,NA,NA,NA,NA
08/05/2000,2000,5,8,9.10,0.10,14.76,4.20
09/05/2000,2000,5,9,9.20,0.01,14.34,5.30
10/05/2000,2000,5,10,9.40,0.02,15.07,6.00
11/05/2000,2000,5,11,9.10,0.72,24.31,5.30
12/05/2000,2000,5,12,11.20,0.01,22.51,4.70
13/05/2000,2000,5,13,NA,NA,NA,NA
14/05/2000,2000,5,14,NA,NA,NA,NA
15/05/2000,2000,5,15,10.10,0.07,9.50,7.20
16/05/2000,2000,5,16,10.30,0.80,10.38,6.60
17/05/2000,2000,5,17,10.30,0.01,9.61,5.80
18/05/2000,2000,5,18,9.60,0.11,8.75,5.50
19/05/2000,2000,5,19,10.10,0.07,8.15,6.50
20/05/2000,2000,5,20,NA,NA,NA,NA
21/05/2000,2000,5,21,NA,NA,NA,NA
22/05/2000,2000,5,22,10.10,0.05,10.66,5.50
23/05/2000,2000,5,23,10.80,0.01,9.38,5.80
24/05/2000,2000,5,24,11.10,0.01,8.77,5.00
25/05/2000,2000,5,25,11.30,0.11,10.91,4.50
26/05/2000,2000,5,26,10.90,0.01,9.73,4.20
27/05/2000,2000,5,27,NA,NA,NA,NA
28/05/2000,2000,5,28,NA,NA,NA,NA
29/05/2000,2000,5,29,NA,NA,NA,NA
30/05/2000,2000,5,30,10.80,0.01,8.67,2.80
31/05/2000,2000,5,31,11.60,0.01,8.43,3.50
01/06/2000,2000,6,1,NA,NA,NA,NA
02/06/2000,2000,6,2,12.10,0.01,8.73,5.00
03/06/2000,2000,6,3,NA,NA,NA,NA
04/06/2000,2000,6,4,NA,NA,NA,NA
05/06/2000,2000,6,5,12.00,0.02,9.47,6.20
06/06/2000,2000,6,6,12.10,0.01,8.09,6.20
07/06/2000,2000,6,7,12.00,0.01,8.19,5.80
08/06/2000,2000,6,8,12.20,0.01,8.03,5.40
09/06/2000,2000,6,9,13.10,0.01,7.39,4.10
10/06/2000,2000,6,10,NA,NA,NA,NA
11/06/2000,2000,6,11,NA,NA,NA,NA
12/06/2000,2000,6,12,NA,NA,NA,NA
13/06/2000,2000,6,13,13.50,0.01,1.63,5.50
14/06/2000,2000,6,14,13.50,0.01,1.87,5.10
15/06/2000,2000,6,15,13.30,0.01,1.75,6.00
16/06/2000,2000,6,16,13.10,0.01,8.03,3.60
17/06/2000,2000,6,17,NA,NA,NA,NA
18/06/2000,2000,6,18,NA,NA,NA,NA
19/06/2000,2000,6,19,13.90,0.01,4.21,9.00
20/06/2000,2000,6,20,15.50,0.01,5.22,8.20
21/06/2000,2000,6,21,16.20,0.10,7.65,7.80
22/06/2000,2000,6,22,15.60,0.05,6.63,7.00
23/06/2000,2000,6,23,15.10,0.01,5.17,5.80
24/06/2000,2000,6,24,NA,NA,NA,NA
25/06/2000,2000,6,25,NA,NA,NA,NA
26/06/2000,2000,6,26,NA,NA,NA,NA
27/06/2000,2000,6,27,13.80,0.05,6.38,0.90
28/06/2000,2000,6,28,13.70,0.10,6.15,2.00
29/06/2000,2000,6,29,13.80,0.07,6.84,2.90
30/06/2000,2000,6,30,14.30,0.37,6.67,4.80
01/07/2000,2000,7,1,NA,NA,NA,NA
02/07/2000,2000,7,2,NA,NA,NA,NA
03/07/2000,2000,7,3,14.90,0.45,1.46,6.30
04/07/2000,2000,7,4,15.30,0.32,4.18,7.00
05/07/2000,2000,7,5,15.30,0.60,1.30,7.20
06/07/2000,2000,7,6,15.30,0.01,3.26,6.00
07/07/2000,2000,7,7,14.90,0.02,3.04,6.20
08/07/2000,2000,7,8,NA,NA,NA,NA
09/07/2000,2000,7,9,NA,NA,NA,NA
10/07/2000,2000,7,10,14.80,0.11,2.77,3.30
11/07/2000,2000,7,11,14.80,0.20,1.59,5.90
12/07/2000,2000,7,12,14.80,0.07,2.49,3.00
13/07/2000,2000,7,13,14.70,0.14,2.93,4.00
14/07/2000,2000,7,14,15.00,0.19,5.18,8.00
15/07/2000,2000,7,15,NA,NA,NA,NA
16/07/2000,2000,7,16,NA,NA,NA,NA
17/07/2000,2000,7,17,13.30,0.07,2.01,7.00
18/07/2000,2000,7,18,14.70,0.13,2.11,7.00
19/07/2000,2000,7,19,14.90,0.18,2.22,4.30
20/07/2000,2000,7,20,15.00,0.35,2.45,4.00
21/07/2000,2000,7,21,14.90,0.34,1.91,4.00
22/07/2000,2000,7,22,NA,NA,NA,NA
23/07/2000,2000,7,23,NA,NA,NA,NA
24/07/2000,2000,7,24,15.60,0.20,1.85,7.00
25/07/2000,2000,7,25,16.30,0.22,3.61,6.00
26/07/2000,2000,7,26,16.70,0.02,3.28,6.10
27/07/2000,2000,7,27,15.90,0.08,2.21,5.50
28/07/2000,2000,7,28,16.30,0.07,2.28,6.40
29/07/2000,2000,7,29,NA,NA,NA,NA
30/07/2000,2000,7,30,NA,NA,NA,NA
31/07/2000,2000,7,31,15.70,0.21,3.01,8.20
01/08/2000,2000,8,1,15.90,0.29,2.19,8.80
02/08/2000,2000,8,2,16.40,0.34,2.35,9.00
03/08/2000,2000,8,3,16.30,0.29,2.25,8.10
04/08/2000,2000,8,4,15.90,0.26,1.89,7.10
05/08/2000,2000,8,5,NA,NA,NA,NA
06/08/2000,2000,8,6,NA,NA,NA,NA
07/08/2000,2000,8,7,16.20,0.42,3.07,5.10
08/08/2000,2000,8,8,16.60,0.58,2.36,4.00
09/08/2000,2000,8,9,16.40,0.59,2.71,6.10
10/08/2000,2000,8,10,16.70,0.29,5.35,5.00
11/08/2000,2000,8,11,16.60,0.39,3.62,5.80
12/08/2000,2000,8,12,NA,NA,NA,NA
13/08/2000,2000,8,13,NA,NA,NA,NA
14/08/2000,2000,8,14,17.80,0.67,6.63,7.40
15/08/2000,2000,8,15,17.30,0.45,4.38,5.90
16/08/2000,2000,8,16,16.90,0.37,3.56,6.30
17/08/2000,2000,8,17,16.90,0.31,3.09,5.80
18/08/2000,2000,8,18,16.80,0.19,2.00,5.00
19/08/2000,2000,8,19,NA,NA,NA,NA
20/08/2000,2000,8,20,NA,NA,NA,NA
21/08/2000,2000,8,21,17.10,0.19,1.62,4.50
22/08/2000,2000,8,22,17.60,0.23,1.21,3.80
23/08/2000,2000,8,23,17.50,0.15,1.01,4.00
24/08/2000,2000,8,24,16.80,0.33,1.32,4.40
25/08/2000,2000,8,25,16.70,0.31,2.01,3.20
26/08/2000,2000,8,26,NA,NA,NA,NA
27/08/2000,2000,8,27,NA,NA,NA,NA
28/08/2000,2000,8,28,17.00,0.25,1.03,5.10
29/08/2000,2000,8,29,16.80,0.22,1.74,5.80
30/08/2000,2000,8,30,16.90,0.18,1.89,5.00
31/08/2000,2000,8,31,16.90,0.31,2.13,3.70
01/09/2000,2000,9,1,16.60,0.28,2.08,3.50
02/09/2000,2000,9,2,NA,NA,NA,NA
03/09/2000,2000,9,3,NA,NA,NA,NA
04/09/2000,2000,9,4,16.50,0.37,1.97,3.80
05/09/2000,2000,9,5,16.60,0.40,2.16,4.30
06/09/2000,2000,9,6,16.60,0.35,2.04,5.20
07/09/2000,2000,9,7,16.40,0.31,1.06,4.80
08/09/2000,2000,9,8,16.60,0.39,1.43,5.10
09/09/2000,2000,9,9,NA,NA,NA,NA
10/09/2000,2000,9,10,NA,NA,NA,NA
11/09/2000,2000,9,11,16.60,0.49,2.89,5.80
12/09/2000,2000,9,12,16.90,0.53,2.81,5.80
13/09/2000,2000,9,13,16.80,0.96,2.81,5.80
14/09/2000,2000,9,14,16.80,0.31,1.09,5.70
15/09/2000,2000,9,15,16.60,0.40,0.35,5.00
16/09/2000,2000,9,16,NA,NA,NA,NA
17/09/2000,2000,9,17,NA,NA,NA,NA
18/09/2000,2000,9,18,16.50,0.61,2.40,5.60
19/09/2000,2000,9,19,16.40,0.63,1.39,5.00
20/09/2000,2000,9,20,NA,NA,NA,NA
21/09/2000,2000,9,21,15.40,1.14,2.51,4.60
22/09/2000,2000,9,22,15.20,0.31,1.28,5.00
23/09/2000,2000,9,23,NA,NA,NA,NA
24/09/2000,2000,9,24,NA,NA,NA,NA
25/09/2000,2000,9,25,14.40,0.58,2.34,5.50
26/09/2000,2000,9,26,15.80,0.75,4.16,5.50
27/09/2000,2000,9,27,16.10,0.74,3.70,5.80
28/09/2000,2000,9,28,16.00,0.31,4.03,4.80
29/09/2000,2000,9,29,16.20,0.58,4.67,6.00
30/09/2000,2000,9,30,NA,NA,NA,NA
01/10/2000,2000,10,1,NA,NA,NA,NA
02/10/2000,2000,10,2,16.50,0.66,3.99,6.00
03/10/2000,2000,10,3,NA,NA,NA,NA
04/10/2000,2000,10,4,16.00,0.64,4.43,6.00
05/10/2000,2000,10,5,15.90,0.58,4.60,5.50
06/10/2000,2000,10,6,15.30,0.31,5.16,5.60
07/10/2000,2000,10,7,NA,NA,NA,NA
08/10/2000,2000,10,8,NA,NA,NA,NA
09/10/2000,2000,10,9,14.90,0.65,4.65,6.00
10/10/2000,2000,10,10,14.60,0.07,4.16,4.80
11/10/2000,2000,10,11,NA,NA,NA,NA
12/10/2000,2000,10,12,14.30,0.43,4.29,4.20
13/10/2000,2000,10,13,14.60,0.31,3.63,5.00
14/10/2000,2000,10,14,NA,NA,NA,NA
15/10/2000,2000,10,15,NA,NA,NA,NA
16/10/2000,2000,10,16,14.80,0.67,1.96,5.20
17/10/2000,2000,10,17,14.70,0.57,1.66,2.80
18/10/2000,2000,10,18,14.40,0.55,1.69,4.80
19/10/2000,2000,10,19,13.70,0.31,3.20,4.60
20/10/2000,2000,10,20,14.30,0.53,1.61,5.20
21/10/2000,2000,10,21,NA,NA,NA,NA
22/10/2000,2000,10,22,NA,NA,NA,NA
23/10/2000,2000,10,23,14.30,0.61,1.84,7.00
24/10/2000,2000,10,24,14.00,0.60,1.81,3.00
25/10/2000,2000,10,25,14.00,0.63,2.01,2.00
26/10/2000,2000,10,26,13.90,0.31,1.77,1.50
27/10/2000,2000,10,27,13.90,0.58,2.27,1.20
28/10/2000,2000,10,28,NA,NA,NA,NA
29/10/2000,2000,10,29,NA,NA,NA,NA
30/10/2000,2000,10,30,NA,NA,NA,NA
31/10/2000,2000,10,31,NA,NA,NA,NA
01/11/2000,2000,11,1,12.80,0.64,1.94,1.50
02/11/2000,2000,11,2,12.00,0.14,0.53,1.50
03/11/2000,2000,11,3,12.10,0.38,0.92,2.20
04/11/2000,2000,11,4,NA,NA,NA,NA
05/11/2000,2000,11,5,NA,NA,NA,NA
06/11/2000,2000,11,6,NA,NA,NA,NA
07/11/2000,2000,11,7,10.40,0.29,3.35,2.80
08/11/2000,2000,11,8,11.40,0.27,5.11,3.50
09/11/2000,2000,11,9,11.00,0.31,8.20,3.70
10/11/2000,2000,11,10,10.40,0.63,7.65,NA
11/11/2000,2000,11,11,NA,NA,NA,NA
12/11/2000,2000,11,12,NA,NA,NA,NA
13/11/2000,2000,11,13,10.60,0.47,8.89,4.20
14/11/2000,2000,11,14,10.50,0.53,8.35,5.00
15/11/2000,2000,11,15,10.20,0.24,9.57,5.50
16/11/2000,2000,11,16,10.10,0.24,9.02,5.20
17/11/2000,2000,11,17,10.60,0.11,7.48,6.00
18/11/2000,2000,11,18,NA,NA,NA,NA
19/11/2000,2000,11,19,NA,NA,NA,NA
20/11/2000,2000,11,20,10.10,0.63,11.30,5.00
21/11/2000,2000,11,21,9.80,0.60,8.72,6.00
22/11/2000,2000,11,22,9.60,0.57,10.58,6.00
23/11/2000,2000,11,23,9.40,0.31,11.35,5.00
24/11/2000,2000,11,24,9.70,0.51,11.02,NA
25/11/2000,2000,11,25,NA,NA,NA,NA
26/11/2000,2000,11,26,NA,NA,NA,NA
27/11/2000,2000,11,27,9.20,0.60,13.04,3.50
28/11/2000,2000,11,28,9.10,0.70,13.46,4.10
29/11/2000,2000,11,29,9.50,0.72,12.97,4.30
30/11/2000,2000,11,30,9.30,0.32,12.38,5.50
01/12/2000,2000,12,1,9.30,0.70,12.20,4.10
02/12/2000,2000,12,2,NA,NA,NA,NA
03/12/2000,2000,12,3,NA,NA,NA,NA
04/12/2000,2000,12,4,9.10,0.58,7.44,4.50
05/12/2000,2000,12,5,8.90,0.51,5.20,5.10
06/12/2000,2000,12,6,9.10,0.51,7.87,5.20
07/12/2000,2000,12,7,9.20,0.32,10.47,8.00
08/12/2000,2000,12,8,9.30,0.80,11.12,8.00
09/12/2000,2000,12,9,NA,NA,NA,NA
10/12/2000,2000,12,10,NA,NA,NA,NA
11/12/2000,2000,12,11,9.30,0.44,6.93,5.50
12/12/2000,2000,12,12,9.30,0.56,6.29,4.80
13/12/2000,2000,12,13,9.40,0.52,8.70,3.90
14/12/2000,2000,12,14,9.30,0.32,8.68,1.80
15/12/2000,2000,12,15,9.10,0.61,9.29,1.70
16/12/2000,2000,12,16,NA,NA,NA,NA
17/12/2000,2000,12,17,NA,NA,NA,NA
18/12/2000,2000,12,18,8.30,0.61,7.24,2.20
19/12/2000,2000,12,19,8.20,0.73,12.72,2.10
20/12/2000,2000,12,20,9.30,0.72,11.94,2.30
21/12/2000,2000,12,21,8.10,0.30,9.60,2.50
22/12/2000,2000,12,22,6.80,0.30,10.96,3.50
23/12/2000,2000,12,23,NA,NA,NA,NA
24/12/2000,2000,12,24,NA,NA,NA,NA
25/12/2000,2000,12,25,NA,NA,NA,NA
26/12/2000,2000,12,26,NA,NA,NA,NA
27/12/2000,2000,12,27,6.40,0.89,14.65,4.50
28/12/2000,2000,12,28,6.80,0.49,10.02,4.80
29/12/2000,2000,12,29,6.50,0.59,14.25,2.70
30/12/2000,2000,12,30,NA,NA,NA,NA
31/12/2000,2000,12,31,NA,NA,NA,NA
01/01/2001,2001,1,1,NA,NA,NA,NA
02/01/2001,2001,1,2,7.00,0.70,13.47,3.10
03/01/2001,2001,1,3,6.90,0.81,14.07,4.20
04/01/2001,2001,1,4,6.60,1.05,14.16,3.90
05/01/2001,2001,1,5,6.70,0.34,14.23,3.80
06/01/2001,2001,1,6,NA,NA,NA,NA
07/01/2001,2001,1,7,NA,NA,NA,NA
08/01/2001,2001,1,8,6.70,0.74,8.26,1.90
09/01/2001,2001,1,9,6.50,0.74,9.87,3.90
10/01/2001,2001,1,10,6.90,NA,NA,3.20
11/01/2001,2001,1,11,6.20,0.78,16.20,4.60
12/01/2001,2001,1,12,6.30,0.66,14.86,5.90
13/01/2001,2001,1,13,NA,NA,NA,NA
14/01/2001,2001,1,14,NA,NA,NA,NA
15/01/2001,2001,1,15,6.00,0.75,11.10,5.80
16/01/2001,2001,1,16,5.80,0.74,15.62,5.20
17/01/2001,2001,1,17,5.30,0.76,17.08,4.20
18/01/2001,2001,1,18,5.20,0.74,15.52,6.30
19/01/2001,2001,1,19,5.20,0.54,15.29,5.80
20/01/2001,2001,1,20,NA,NA,NA,NA
21/01/2001,2001,1,21,NA,NA,NA,NA
22/01/2001,2001,1,22,NA,NA,NA,NA
23/01/2001,2001,1,23,5.40,0.57,16.50,6.00
24/01/2001,2001,1,24,5.90,0.51,16.11,7.70
25/01/2001,2001,1,25,5.60,0.53,16.00,3.90
26/01/2001,2001,1,26,5.60,0.48,13.90,4.50
27/01/2001,2001,1,27,NA,NA,NA,NA
28/01/2001,2001,1,28,NA,NA,NA,NA
29/01/2001,2001,1,29,NA,0.47,17.24,6.20
30/01/2001,2001,1,30,5.70,0.53,11.77,6.70
31/01/2001,2001,1,31,5.70,0.47,16.29,6.80
01/02/2001,2001,2,1,5.50,0.49,18.12,5.80
02/02/2001,2001,2,2,5.20,0.57,18.62,4.00
03/02/2001,2001,2,3,NA,NA,NA,NA
04/02/2001,2001,2,4,NA,NA,NA,NA
05/02/2001,2001,2,5,4.50,0.52,7.96,3.80
06/02/2001,2001,2,6,4.40,0.36,6.81,3.80
07/02/2001,2001,2,7,4.30,0.55,19.92,5.00
08/02/2001,2001,2,8,4.30,0.60,13.63,5.30
09/02/2001,2001,2,9,4.60,0.49,19.51,4.70
10/02/2001,2001,2,10,NA,NA,NA,NA
11/02/2001,2001,2,11,NA,NA,NA,NA
12/02/2001,2001,2,12,5.30,0.52,17.93,2.20
13/02/2001,2001,2,13,5.10,0.77,22.33,3.80
14/02/2001,2001,2,14,4.90,0.50,18.32,4.00
15/02/2001,2001,2,15,4.80,0.31,25.62,5.00
16/02/2001,2001,2,16,4.80,0.30,19.68,5.70
17/02/2001,2001,2,17,NA,NA,NA,NA
18/02/2001,2001,2,18,NA,NA,NA,NA
19/02/2001,2001,2,19,4.90,0.71,20.62,4.50
20/02/2001,2001,2,20,4.80,0.57,20.87,2.90
21/02/2001,2001,2,21,4.70,0.56,21.87,3.20
22/02/2001,2001,2,22,4.80,0.58,22.57,1.20
23/02/2001,2001,2,23,4.40,0.90,23.84,NA
24/02/2001,2001,2,24,NA,NA,NA,NA
25/02/2001,2001,2,25,NA,NA,NA,NA
26/02/2001,2001,2,26,4.40,0.52,24.75,4.00
27/02/2001,2001,2,27,NA,0.75,26.57,3.20
28/02/2001,2001,2,28,4.10,0.61,26.41,3.60
01/03/2001,2001,3,1,4.00,0.72,25.75,3.20
02/03/2001,2001,3,2,3.80,0.62,23.18,3.60
03/03/2001,2001,3,3,NA,NA,NA,NA
04/03/2001,2001,3,4,NA,NA,NA,NA
05/03/2001,2001,3,5,3.40,0.94,29.14,4.00
06/03/2001,2001,3,6,3.80,0.80,26.29,5.90
07/03/2001,2001,3,7,3.80,0.64,26.40,4.00
08/03/2001,2001,3,8,4.10,0.66,25.17,5.60
09/03/2001,2001,3,9,4.30,0.60,18.90,5.20
10/03/2001,2001,3,10,NA,NA,NA,NA
11/03/2001,2001,3,11,NA,NA,NA,NA
12/03/2001,2001,3,12,4.60,0.52,21.33,5.90
13/03/2001,2001,3,13,4.60,0.48,20.36,4.40
14/03/2001,2001,3,14,4.60,0.73,21.20,4.60
15/03/2001,2001,3,15,4.40,0.09,8.58,5.50
16/03/2001,2001,3,16,4.60,0.08,14.55,5.90
17/03/2001,2001,3,17,NA,NA,NA,NA
18/03/2001,2001,3,18,NA,NA,NA,NA
19/03/2001,2001,3,19,NA,NA,NA,NA
20/03/2001,2001,3,20,3.70,0.18,25.63,2.00
21/03/2001,2001,3,21,3.80,0.47,28.05,3.30
22/03/2001,2001,3,22,3.70,0.57,26.82,3.20
23/03/2001,2001,3,23,3.70,0.39,26.66,4.00
24/03/2001,2001,3,24,NA,NA,NA,NA
25/03/2001,2001,3,25,NA,NA,NA,NA
26/03/2001,2001,3,26,3.70,0.53,22.83,3.50
27/03/2001,2001,3,27,3.70,0.84,21.98,3.30
28/03/2001,2001,3,28,3.60,0.50,20.43,2.90
29/03/2001,2001,3,29,3.80,0.28,13.93,3.90
30/03/2001,2001,3,30,4.20,0.19,16.75,5.80
31/03/2001,2001,3,31,NA,NA,NA,NA
01/04/2001,2001,4,1,NA,NA,NA,NA
02/04/2001,2001,4,2,4.40,0.20,12.18,6.20
03/04/2001,2001,4,3,4.80,0.27,17.64,5.20
04/04/2001,2001,4,4,4.80,0.28,13.95,5.50
05/04/2001,2001,4,5,4.90,0.25,13.17,1.30
06/04/2001,2001,4,6,5.10,0.45,13.38,2.40
07/04/2001,2001,4,7,NA,NA,NA,NA
08/04/2001,2001,4,8,NA,NA,NA,NA
09/04/2001,2001,4,9,5.00,0.45,17.20,4.80
10/04/2001,2001,4,10,5.20,0.23,16.52,5.20
11/04/2001,2001,4,11,5.10,0.26,15.77,5.50
12/04/2001,2001,4,12,5.10,0.19,13.23,4.90
13/04/2001,2001,4,13,NA,NA,NA,NA
14/04/2001,2001,4,14,NA,NA,NA,NA
15/04/2001,2001,4,15,NA,NA,NA,NA
16/04/2001,2001,4,16,NA,NA,NA,NA
17/04/2001,2001,4,17,5.30,0.09,18.70,4.10
18/04/2001,2001,4,18,5.30,0.11,22.41,5.00
19/04/2001,2001,4,19,5.40,0.22,22.09,3.00
20/04/2001,2001,4,20,5.50,0.10,25.72,6.00
21/04/2001,2001,4,21,NA,NA,NA,NA
22/04/2001,2001,4,22,NA,NA,NA,NA
23/04/2001,2001,4,23,5.90,0.11,21.91,7.50
24/04/2001,2001,4,24,6.20,0.13,27.17,6.20
25/04/2001,2001,4,25,6.60,0.08,22.07,5.90
26/04/2001,2001,4,26,6.30,0.08,19.44,6.20
27/04/2001,2001,4,27,6.30,0.06,17.35,6.90
28/04/2001,2001,4,28,NA,NA,NA,NA
29/04/2001,2001,4,29,NA,NA,NA,NA
30/04/2001,2001,4,30,6.40,0.04,11.14,6.50
01/05/2001,2001,5,1,NA,NA,NA,NA
